Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
9225,2015,1,1,0
9225,2015,1,2,0
9225,2015,1,3,0
9225,2015,1,4,0
9225,2015,1,5,0
9225,2015,1,6,0
9225,2015,1,7,0
9225,2015,1,8,0
9225,2015,1,9,0
9225,2015,1,10,0
9225,2015,1,11,0
9225,2015,1,12,0
9225,2015,1,13,0
9225,2015,1,14,0
9225,2015,1,15,0
9225,2015,1,16,0
9225,2015,1,17,0
9225,2015,1,18,0
9225,2015,1,19,0
9225,2015,1,20,0
9225,2015,1,21,0
9225,2015,1,22,0
9225,2015,1,23,0
9225,2015,1,24,0
9225,2015,1,25,0
9225,2015,1,26,0
9225,2015,1,27,0
9225,2015,1,28,0
9225,2015,1,29,5.2
9225,2015,1,30,13.4
9225,2015,1,31,0
9225,2015,2,1,0
9225,2015,2,2,9.6
9225,2015,2,3,11.8
9225,2015,2,4,1.6
9225,2015,2,5,0
9225,2015,2,6,0
9225,2015,2,7,0
9225,2015,2,8,0
9225,2015,2,9,0
9225,2015,2,10,0
9225,2015,2,11,0
9225,2015,2,12,0
9225,2015,2,13,0
9225,2015,2,14,0.4
9225,2015,2,15,0
9225,2015,2,16,0
9225,2015,2,17,0
9225,2015,2,18,0
9225,2015,2,19,0
9225,2015,2,20,0
9225,2015,2,21,0
9225,2015,3,19,0.8
9225,2015,3,20,0
9225,2015,3,21,0
9225,2015,3,22,0
9225,2015,3,23,0
9225,2015,3,24,0
9225,2015,3,25,0
9225,2015,3,26,0
9225,2015,3,27,2.8
9225,2015,3,28,0
9225,2015,3,29,0
9225,2015,3,30,0
9225,2015,3,31,0
9225,2015,4,1,0
9225,2015,4,2,0
9225,2015,4,3,0
9225,2015,4,4,0
9225,2015,4,5,0
9225,2015,4,6,0
9225,2015,4,7,9
9225,2015,4,8,12.4
9225,2015,4,9,3.2
9225,2015,4,10,12.4
9225,2015,4,11,0.6
9225,2015,4,12,14.8
9225,2015,4,13,1
9225,2015,4,14,0
9225,2015,4,15,0.2
9225,2015,4,16,0
9225,2015,4,17,0
9225,2015,4,18,0
9225,2015,4,19,0
9225,2015,4,20,0
9225,2015,4,21,0
9225,2015,4,22,0
9225,2015,4,23,0
9225,2015,4,24,0
9225,2015,4,25,0
9225,2015,4,26,0
9225,2015,4,27,0
9225,2015,4,28,0
9225,2015,4,29,0
9225,2015,4,30,0.4
9225,2015,5,1,0
9225,2015,5,2,0
9225,2015,5,3,0
9225,2015,5,4,5
9225,2015,5,5,0
9225,2015,5,6,0
9225,2015,5,7,0
9225,2015,5,8,0
9225,2015,5,9,0
9225,2015,5,10,0
9225,2015,5,11,0
9225,2015,5,12,0
9225,2015,5,13,0
9225,2015,5,14,0
9225,2015,5,15,0
9225,2015,5,16,4
9225,2015,5,17,32
9225,2015,5,18,42.8
9225,2015,5,19,0
9225,2015,5,20,0
9225,2015,5,21,0
9225,2015,5,22,0
9225,2015,5,23,0
9225,2015,5,24,0
9225,2015,5,25,0
9225,2015,5,26,0
9225,2015,5,27,0
9225,2015,5,28,0
9225,2015,5,29,0
9225,2015,5,30,0
9225,2015,5,31,0
9225,2015,6,1,0
9225,2015,6,2,5.2
9225,2015,6,3,2
9225,2015,6,4,3.2
9225,2015,6,5,0
9225,2015,6,6,0.2
9225,2015,6,7,0.6
9225,2015,6,8,0
9225,2015,6,9,0
9225,2015,6,10,0
9225,2015,6,11,0
9225,2015,6,12,0.4
9225,2015,6,13,0
9225,2015,6,14,0
9225,2015,6,15,0
9225,2015,6,16,0
9225,2015,6,17,0
9225,2015,6,18,3.2
9225,2015,6,19,23.4
9225,2015,6,20,15.8
9225,2015,6,21,33
9225,2015,6,22,13.4
9225,2015,6,23,0
9225,2015,6,24,0
9225,2015,6,25,0
9225,2015,6,26,0
9225,2015,6,27,0
9225,2015,6,28,0
9225,2015,6,29,0
9225,2015,6,30,0
9225,2015,7,1,0
9225,2015,7,2,1.6
9225,2015,7,3,3.8
9225,2015,7,4,0
9225,2015,7,5,1.8
9225,2015,7,6,2.6
9225,2015,7,7,5.6
9225,2015,7,8,9.2
9225,2015,7,9,0
9225,2015,7,10,1.2
9225,2015,7,11,0.2
9225,2015,7,12,0
9225,2015,7,13,0
9225,2015,7,14,0
9225,2015,7,15,0
9225,2015,7,16,0
9225,2015,7,17,0
9225,2015,7,18,0.8
9225,2015,7,19,0.8
9225,2015,7,20,33.2
9225,2015,7,21,8.6
9225,2015,7,22,0.2
9225,2015,7,23,8.4
9225,2015,7,24,0
9225,2015,7,25,0
9225,2015,7,26,0
9225,2015,7,27,0
9225,2015,7,28,0.4
9225,2015,7,29,5.2
9225,2015,7,30,0.4
9225,2015,7,31,18.4
9225,2015,8,1,0.2
9225,2015,8,2,0
9225,2015,8,3,0
9225,2015,8,4,0
9225,2015,8,5,0
9225,2015,8,6,0
9225,2015,8,7,1
9225,2015,8,8,6.4
9225,2015,8,9,12.6
9225,2015,8,10,4
9225,2015,8,11,3.8
9225,2015,8,12,0
9225,2015,8,13,0
9225,2015,8,14,0
9225,2015,8,15,0
9225,2015,8,16,0
9225,2015,8,17,5.6
9225,2015,8,18,5
9225,2015,8,19,1
9225,2015,8,20,16.8
9225,2015,8,21,7
9225,2015,8,22,29.6
9225,2015,8,23,0
9225,2015,8,24,0
9225,2015,8,25,0
9225,2015,8,26,0
9225,2015,8,27,0
9225,2015,8,28,0
9225,2015,8,29,4.2
9225,2015,8,30,15.6
9225,2015,8,31,0.2
9225,2015,9,1,6.6
9225,2015,9,2,0
9225,2015,9,3,0
9225,2015,9,4,0
9225,2015,9,5,8
9225,2015,9,6,0
9225,2015,9,7,0
9225,2015,9,8,0
9225,2015,9,9,0
9225,2015,9,10,0
9225,2015,9,11,8
9225,2015,9,12,19.4
9225,2015,9,13,8.8
9225,2015,9,14,0
9225,2015,9,15,1.2
9225,2015,9,16,0
9225,2015,9,17,0
9225,2015,9,18,0
9225,2015,9,19,0
9225,2015,9,20,0
9225,2015,9,21,0
9225,2015,9,22,0
9225,2015,9,23,0
9225,2015,9,24,0
9225,2015,9,25,0
9225,2015,9,26,0
9225,2015,9,27,0
9225,2015,9,28,0
9225,2015,9,29,0
9225,2015,9,30,0
9225,2015,10,1,0
9225,2015,10,2,0
9225,2015,10,3,0.2
9225,2015,10,4,0
9225,2015,10,5,1.2
9225,2015,10,6,0.2
9225,2015,10,7,0
9225,2015,10,8,0
9225,2015,10,9,0
9225,2015,10,10,0
9225,2015,10,11,0
9225,2015,10,12,0
9225,2015,10,13,0
9225,2015,10,14,1
9225,2015,10,15,1.8
9225,2015,10,16,0
9225,2015,10,17,0
9225,2015,10,18,0
9225,2015,10,19,3
